python3 main.py
04-18 16:31 --------------------------------------------------
04-18 16:31 Load data files..
04-18 16:31 ********** Train
04-18 16:31 #Examples: 1000
04-18 16:31 ********** Dev
04-18 16:31 #Examples: 100
04-18 16:31 --------------------------------------------------
04-18 16:31 Build dictionary..
04-18 16:31 #Words: 23361 -> 23361
04-18 16:31 ('the', 40156)
04-18 16:31 (',', 37380)
04-18 16:31 ('.', 31315)
04-18 16:31 ('"', 19044)
04-18 16:31 ('to', 19016)
04-18 16:31 ...
04-18 16:31 ('da', 1)
04-18 16:31 ('34million', 1)
04-18 16:31 ('co-ownership', 1)
04-18 16:31 ('islamic', 1)
04-18 16:31 ('conclusively', 1)
04-18 16:31 Entity markers: 528
04-18 16:31 --------------------------------------------------
04-18 16:31 Load embedding file..
04-18 16:31 Embeddings: 23363 x 100
04-18 16:31 Loading embedding file: data/glove/glove.6B.100d.txt
04-18 16:31 Pre-trained: 22328 (95.57%)
04-18 16:31 
	debug:	True
	test_only:	False
	data_path:	data/
	embedding_file:	data/glove/glove.6B.100d.txt
	train_file:	data/cnn/train.txt
	dev_file:	data/cnn/dev.txt
	test_file:	data/cnn/test.txt
	log_file:	None
	save_path:	model/
	hidden_size:	128
	num_layers:	1
	batch_size:	32
	num_epoches:	5
	eval_iter:	100
	dropout_rate:	0.8
	learning_rate:	0.1
	grad_clipping:	10.0
	embedding_size:	100
	num_train:	1000
	num_dev:	100
	num_labels:	528
	vocab_size:	23363

04-18 16:31 --------------------------------------------------
04-18 16:31 Vectorize test data..
04-18 16:31 Vectorization: processed 0 / 100
04-18 16:31 --------------------------------------------------
04-18 16:31 Vectorize training data..
04-18 16:31 Vectorization: processed 0 / 1000
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
WARNING:tensorflow:Standard services need a 'logdir' passed to the SessionManager
04-18 16:31 Standard services need a 'logdir' passed to the SessionManager
04-18 16:31   0% acc: 3.12% loss: 6.29 time: 1.22
04-18 16:31   3% acc: 10.94% loss: 5.66 time: 2.24
04-18 16:31   6% acc: 11.46% loss: 4.50 time: 3.43
04-18 16:31   10% acc: 10.94% loss: 4.55 time: 4.65
04-18 16:31   13% acc: 11.25% loss: 3.48 time: 6.03
04-18 16:31   16% acc: 10.42% loss: 4.08 time: 7.60
04-18 16:31   19% acc: 12.05% loss: 3.34 time: 9.01
04-18 16:31   23% acc: 12.50% loss: 3.35 time: 10.71
04-18 16:31   26% acc: 12.85% loss: 4.06 time: 12.64
04-18 16:31   29% acc: 13.75% loss: 3.73 time: 14.27
04-18 16:31   32% acc: 13.92% loss: 3.77 time: 16.25
04-18 16:31   35% acc: 13.54% loss: 3.45 time: 18.46
04-18 16:31   39% acc: 12.98% loss: 2.88 time: 20.57
04-18 16:31   42% acc: 13.84% loss: 3.40 time: 23.09
04-18 16:31   45% acc: 13.54% loss: 3.56 time: 25.74
04-18 16:31   48% acc: 13.67% loss: 3.24 time: 28.53
04-18 16:31   52% acc: 13.42% loss: 3.94 time: 31.48
04-18 16:31   55% acc: 13.72% loss: 3.61 time: 34.51
04-18 16:32   58% acc: 13.98% loss: 3.16 time: 37.85
04-18 16:32   61% acc: 14.37% loss: 3.19 time: 41.23
04-18 16:32   65% acc: 14.29% loss: 3.54 time: 44.75
04-18 16:32   68% acc: 14.77% loss: 3.08 time: 48.35
04-18 16:32   71% acc: 14.54% loss: 3.62 time: 52.02
04-18 16:32   74% acc: 14.71% loss: 3.19 time: 55.88
04-18 16:32   77% acc: 14.12% loss: 3.65 time: 60.03
04-18 16:32   81% acc: 14.54% loss: 3.39 time: 64.34
04-18 16:32   84% acc: 14.12% loss: 4.17 time: 68.95
04-18 16:32   87% acc: 13.84% loss: 3.93 time: 73.82
04-18 16:32   90% acc: 13.79% loss: 3.33 time: 79.16
04-18 16:32   94% acc: 14.06% loss: 3.54 time: 84.43
04-18 16:32   97% acc: 14.31% loss: 2.99 time: 91.48
04-18 16:32 Epoch: 1 Train acc: 14.31%
04-18 16:32 Epoch: 1 Valid acc: 19.79%
04-18 16:33   0% acc: 28.12% loss: 2.20 time: 0.83
04-18 16:33   3% acc: 23.44% loss: 2.67 time: 1.96
